adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,reward_liquid,monkey_final_bid,task_failure
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
392,0.408333333333333,1,0.8,2,2,0.96,0.45,0.408333333333333,NaN
496,0.516666666666667,1,1,0,2,1.2,0,0.516666666666667,NaN
632,0.658333333333333,1,1,0,3,1.2,0,0.658333333333333,NaN
464,0.483333333333333,1,1,0,2,1.2,0,0.483333333333333,NaN
624,0.65,1,1,0,3,1.2,0,0.65,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
496,0.516666666666667,1,0.7,1,1,0.84,0.15,0.516666666666667,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
272,0.283333333333333,1,0.5,2,2,0.6,0.45,0.283333333333333,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
-856,-0.891666666666667,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
272,0.283333333333333,1,1,0,2,1.2,0,0.283333333333333,NaN
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
528,0.55,1,1,0,1,1.2,0,0.55,NaN
416,0.433333333333333,1,1,0,2,1.2,0,0.433333333333333,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
512,0.533333333333333,1,0.6,1,1,0.72,0.15,0.533333333333333,NaN
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
496,0.516666666666667,1,0.6,1,1,0.72,0.15,0.516666666666667,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
368,0.383333333333333,1,1,0,1,1.2,0,0.383333333333333,NaN
640,0.666666666666667,1,1,0,1,1.2,0,0.666666666666667,NaN
752,0.783333333333333,1,1,0,2,1.2,0,0.783333333333333,NaN
744,0.775,1,1,0,3,1.2,0,0.775,NaN
