adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-600,1.2,0,0.2,-0.625,2,0,NaN,1
-904,1.2,0,0.8,-0.941666666666667,1,0,NaN,1
0,NaN,0,0.1,NaN,3,NaN,joystick_not_stationary,NaN
-928,1.2,0,0.1,-0.966666666666667,3,0,NaN,1
0,NaN,0,0.2,NaN,1,NaN,joystick_not_stationary,NaN
-648,0.48,1,0.6,-0.675,2,0.45,NaN,1
-432,1.08,1,0.1,-0.45,2,0.45,NaN,1
0,NaN,0,0.6,NaN,3,NaN,joystick_not_stationary,NaN
-632,0,1,1,-0.658333333333333,2,0.45,NaN,1
-960,1.2,0,0.3,-1,1,0,NaN,1
0,NaN,0,0.8,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.7,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.2,NaN,2,NaN,joystick_not_stationary,NaN
-480,0.36,1,0.7,-0.5,2,0.45,NaN,1
-768,0.72,1,0.4,-0.8,2,0.45,NaN,1
0,NaN,1,1,NaN,1,NaN,joystick_not_stationary,NaN
-672,1.2,0,0.3,-0.7,3,0,NaN,1
0,NaN,1,0.6,NaN,2,NaN,joystick_not_stationary,NaN
-640,1.2,0,0.8,-0.666666666666667,1,0,NaN,1
0,NaN,0,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.3,NaN,3,NaN,no_bid,NaN
576,0,0,1,0.6,1,0.15,NaN,1
-656,1.2,0,0.1,-0.683333333333333,1,0,NaN,1
-528,0,1,1,-0.55,2,0.45,NaN,1
-472,1.2,0,0.6,-0.491666666666667,1,0,NaN,1
0,NaN,1,0.9,NaN,2,NaN,joystick_not_stationary,NaN
-680,1.2,0,0.1,-0.708333333333333,3,0,NaN,1
0,NaN,1,1,NaN,3,NaN,joystick_not_stationary,NaN
320,1.2,1,0.8,0.333333333333333,1,0,NaN,1
0,NaN,0,0.4,NaN,2,NaN,joystick_not_stationary,NaN
-416,0.96,1,0.2,-0.433333333333333,3,0.75,NaN,1
-704,1.2,0,0.4,-0.733333333333333,3,0,NaN,1
0,NaN,1,0.1,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.3,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,1,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.4,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.2,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,3,NaN,joystick_not_stationary,NaN
-712,1.2,0,0.5,-0.741666666666667,1,0,NaN,1
0,NaN,1,0.9,NaN,2,NaN,joystick_not_stationary,NaN
-872,1.2,0,0.3,-0.908333333333333,3,0,NaN,1
0,NaN,1,0.1,NaN,2,NaN,joystick_not_stationary,NaN
-528,1.2,0,0.7,-0.55,1,0,NaN,1
-760,0.24,1,0.8,-0.791666666666667,1,0.15,NaN,1
0,NaN,0,0.8,NaN,2,NaN,joystick_not_stationary,NaN
-592,0,1,1,-0.616666666666667,3,0.75,NaN,1
0,NaN,1,0.3,NaN,3,NaN,joystick_not_stationary,NaN
-456,0.72,1,0.4,-0.475,2,0.45,NaN,1
0,NaN,1,0.4,NaN,3,NaN,joystick_not_stationary,NaN
-672,0.6,1,0.5,-0.7,2,0.45,NaN,1
-960,0.72,1,0.4,-1,2,0.45,NaN,1
-576,1.08,1,0.1,-0.6,2,0.45,NaN,1
0,NaN,1,0.2,NaN,1,NaN,joystick_not_stationary,NaN
-760,1.2,0,1,-0.791666666666667,3,0,NaN,1
0,NaN,0,0.7,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.5,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,3,NaN,joystick_not_stationary,NaN
-496,1.2,0,0.4,-0.516666666666667,2,0,NaN,1
-688,0,1,1,-0.716666666666667,2,0.45,NaN,1
