adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,reward_liquid,monkey_final_bid,task_failure
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
664,0.691666666666667,1,1,0,3,1.2,0,0.691666666666667,NaN
672,0.7,1,1,0,3,1.2,0,0.7,NaN
720,0.75,1,0.7,1,1,0.84,0.15,0.75,NaN
800,0.833333333333333,1,1,0,1,1.2,0,0.833333333333333,NaN
656,0.683333333333333,1,0.8,1,1,0.96,0.15,0.683333333333333,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
760,0.791666666666667,1,1,0,1,1.2,0,0.791666666666667,NaN
640,0.666666666666667,1,1,0,3,1.2,0,0.666666666666667,NaN
832,0.866666666666667,1,1,0,3,1.2,0,0.866666666666667,NaN
960,1,1,1,0,3,1.2,0,1,NaN
920,0.958333333333333,1,0.4,3,3,0.48,0.75,0.958333333333333,NaN
744,0.775,1,0,2,2,0,0.45,0.775,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
712,0.741666666666667,1,0.5,3,3,0.6,0.75,0.741666666666667,NaN
648,0.675,1,1,0,2,1.2,0,0.675,NaN
664,0.691666666666667,1,0.1,2,2,0.12,0.45,0.691666666666667,NaN
768,0.8,1,0.3,2,2,0.36,0.45,0.8,NaN
584,0.608333333333333,1,0.9,3,3,1.08,0.75,0.608333333333333,NaN
960,1,1,0.2,2,2,0.24,0.45,1,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
656,0.683333333333333,1,1,0,2,1.2,0,0.683333333333333,NaN
776,0.808333333333333,1,1,0,1,1.2,0,0.808333333333333,NaN
496,0.516666666666667,1,0.2,3,3,0.24,0.75,0.516666666666667,NaN
688,0.716666666666667,1,0.7,2,2,0.84,0.45,0.716666666666667,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
568,0.591666666666667,1,1,0,1,1.2,0,0.591666666666667,NaN
744,0.775,1,1,0,2,1.2,0,0.775,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
840,0.875,1,1,0,1,1.2,0,0.875,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
712,0.741666666666667,1,1,0,3,1.2,0,0.741666666666667,NaN
696,0.725,1,0.6,1,1,0.72,0.15,0.725,NaN
768,0.8,1,0.2,1,1,0.24,0.15,0.8,NaN
592,0.616666666666667,1,0.3,2,2,0.36,0.45,0.616666666666667,NaN
760,0.791666666666667,1,0.6,1,1,0.72,0.15,0.791666666666667,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
536,0.558333333333333,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
768,0.8,1,1,0,2,1.2,0,0.8,NaN
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
720,0.75,1,0.4,3,3,0.48,0.75,0.75,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
712,0.741666666666667,1,1,0,1,1.2,0,0.741666666666667,NaN
656,0.683333333333333,1,1,0,3,1.2,0,0.683333333333333,NaN
632,0.658333333333333,1,0.4,3,3,0.48,0.75,0.658333333333333,NaN
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
960,1,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
