adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
0,NaN,1,0.4,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.2,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.3,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,1,NaN,joystick_not_stationary,NaN
440,1.2,1,0.6,0.458333333333333,2,0,NaN,1
-920,1.2,0,0.2,-0.958333333333333,3,0,NaN,1
-504,0.24,1,0.8,-0.525,2,0.45,NaN,1
0,NaN,1,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,1,NaN,1,NaN,joystick_not_stationary,NaN
