adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-608,1.08,1,0.1,-0.633333333333333,2,0.45,NaN,1
-624,1.2,0,0.8,-0.65,2,0,NaN,1
-600,1.2,0,0.9,-0.625,1,0,NaN,1
-624,1.08,1,0.1,-0.65,2,0.45,NaN,1
-512,0.48,1,0.6,-0.533333333333333,1,0.15,NaN,1
-584,0.36,1,0.7,-0.608333333333333,1,0.15,NaN,1
-672,1.2,0,0.8,-0.7,2,0,NaN,1
-816,1.2,0,0.2,-0.85,3,0,NaN,1
-688,0.96,1,0.2,-0.716666666666667,3,0.75,NaN,1
-600,0.84,1,0.3,-0.625,1,0.15,NaN,1
-480,0.36,1,0.7,-0.5,2,0.45,NaN,1
0,NaN,1,0.1,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.4,NaN,3,NaN,joystick_not_stationary,NaN
-696,1.2,0,0.6,-0.725,3,0,NaN,1
-624,0.96,1,0.2,-0.65,1,0.15,NaN,1
-656,1.2,0,0.8,-0.683333333333333,2,0,NaN,1
-560,0.12,1,0.9,-0.583333333333333,2,0.45,NaN,1
-576,0.96,1,0.2,-0.6,2,0.45,NaN,1
-576,1.2,0,0.9,-0.6,1,0,NaN,1
0,NaN,0,0.9,NaN,2,NaN,joystick_not_stationary,NaN
520,1.2,1,1,0.541666666666667,1,0,NaN,1
0,NaN,0,0.6,NaN,2,NaN,joystick_not_stationary,NaN
-416,NaN,1,0.3,NaN,3,NaN,unfinished_bidding,NaN
0,NaN,1,0.4,NaN,3,NaN,joystick_not_stationary,NaN
672,1.2,1,0.1,0.7,1,0,NaN,1
312,1.2,1,0.3,0.325,1,0,NaN,1
-592,1.2,0,0.1,-0.616666666666667,3,0,NaN,1
-616,1.2,0,0.4,-0.641666666666667,1,0,NaN,1
-560,1.2,0,1,-0.583333333333333,1,0,NaN,1
0,NaN,0,0.2,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.9,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.5,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.8,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.8,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.3,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,2,NaN,joystick_not_stationary,NaN
504,1.2,1,0.9,0.525,2,0,NaN,1
-672,1.2,0,0.3,-0.7,3,0,NaN,1
-872,1.2,0,0.6,-0.908333333333333,1,0,NaN,1
0,NaN,1,0.3,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.4,NaN,3,NaN,joystick_not_stationary,NaN
-552,0.48,1,0.6,-0.575,3,0.75,NaN,1
0,NaN,1,0.1,NaN,1,NaN,joystick_not_stationary,NaN
336,0.84,0,0.3,0.35,1,0.15,NaN,1
-392,0.96,1,0.2,-0.408333333333333,3,0.75,NaN,1
-744,1.2,0,0.6,-0.775,3,0,NaN,1
0,NaN,1,0.1,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,2,NaN,joystick_not_stationary,NaN
456,1.2,1,0.2,0.475,1,0,NaN,1
576,1.2,1,0.6,0.6,2,0,NaN,1
-664,0.12,1,0.9,-0.691666666666667,2,0.45,NaN,1
-584,1.2,0,0.2,-0.608333333333333,2,0,NaN,1
-824,1.08,1,0.1,-0.858333333333333,2,0.45,NaN,1
-608,0.84,1,0.3,-0.633333333333333,2,0.45,NaN,1
-640,1.2,0,0.7,-0.666666666666667,2,0,NaN,1
-640,0.6,1,0.5,-0.666666666666667,2,0.45,NaN,1
-704,1.08,1,0.1,-0.733333333333333,1,0.15,NaN,1
0,NaN,1,0.3,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.9,NaN,2,NaN,joystick_not_stationary,NaN
