adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
448,0.466666666666667,1,0.5,1,1,0.6,0.466666666666667,NaN,0.15
-656,-0.683333333333333,1,1,0,3,1.2,-0.683333333333333,NaN,0
-800,-0.833333333333333,1,0.1,3,3,0.12,-0.833333333333333,NaN,0.75
-688,-0.716666666666667,1,1,0,1,1.2,-0.716666666666667,NaN,0
-736,-0.766666666666667,1,1,0,2,1.2,-0.766666666666667,NaN,0
-560,-0.583333333333333,1,1,0,3,1.2,-0.583333333333333,NaN,0
424,0.441666666666667,1,0.1,1,1,0.12,0.441666666666667,NaN,0.15
-672,-0.7,1,1,0,3,1.2,-0.7,NaN,0
-712,-0.741666666666667,1,1,0,1,1.2,-0.741666666666667,NaN,0
584,0.608333333333333,1,1,0,1,1.2,0.608333333333333,NaN,0
-584,-0.608333333333333,1,0.7,2,2,0.84,-0.608333333333333,NaN,0.45
696,0.725,1,0.8,1,1,0.96,0.725,NaN,0.15
-744,-0.775,1,1,0,3,1.2,-0.775,NaN,0
-448,-0.466666666666667,1,1,0,2,1.2,-0.466666666666667,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
712,0.741666666666667,1,1,0,2,1.2,0.741666666666667,NaN,0
504,0.525,1,1,0,1,1.2,0.525,NaN,0
-656,-0.683333333333333,1,0.1,2,2,0.12,-0.683333333333333,NaN,0.45
712,0.741666666666667,1,1,0,1,1.2,0.741666666666667,NaN,0
568,0.591666666666667,1,1,0,2,1.2,0.591666666666667,NaN,0
552,0.575,1,0.9,2,2,1.08,0.575,NaN,0.45
-640,-0.666666666666667,1,0.6,3,3,0.72,-0.666666666666667,NaN,0.75
-656,-0.683333333333333,1,0.9,2,2,1.08,-0.683333333333333,NaN,0.45
-664,-0.691666666666667,1,0.9,2,2,1.08,-0.691666666666667,NaN,0.45
568,0.591666666666667,1,0,1,1,0,0.591666666666667,NaN,0.15
920,0.958333333333333,1,0.6,1,1,0.72,0.958333333333333,NaN,0.15
504,0.525,1,0.2,1,1,0.24,0.525,NaN,0.15
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
304,0.316666666666667,1,1,0,2,1.2,0.316666666666667,NaN,0
-48,-0.05,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
496,0.516666666666667,1,0.6,1,1,0.72,0.516666666666667,NaN,0.15
-688,-0.716666666666667,1,1,0,1,1.2,-0.716666666666667,NaN,0
608,0.633333333333333,1,1,0,1,1.2,0.633333333333333,NaN,0
-744,-0.775,1,0.3,3,3,0.36,-0.775,NaN,0.75
-344,-0.358333333333333,1,1,0,3,1.2,-0.358333333333333,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-304,-0.316666666666667,1,1,0,2,1.2,-0.316666666666667,NaN,0
-496,-0.516666666666667,1,1,0,2,1.2,-0.516666666666667,NaN,0
-600,-0.625,1,1,0,3,1.2,-0.625,NaN,0
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
416,0.433333333333333,1,0.9,2,2,1.08,0.433333333333333,NaN,0.45
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-128,-0.133333333333333,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-480,-0.5,1,1,0,3,1.2,-0.5,NaN,0
-576,-0.6,1,0.2,2,2,0.24,-0.6,NaN,0.45
-704,-0.733333333333333,1,0.1,2,2,0.12,-0.733333333333333,NaN,0.45
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-600,-0.625,1,1,0,3,1.2,-0.625,NaN,0
-600,-0.625,1,0,3,3,0,-0.625,NaN,0.75
-744,-0.775,1,1,0,2,1.2,-0.775,NaN,0
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
760,0.791666666666667,1,0.1,1,1,0.12,0.791666666666667,NaN,0.15
-456,-0.475,1,0.9,2,2,1.08,-0.475,NaN,0.45
-528,-0.55,1,0,1,1,0,-0.55,NaN,0.15
-688,-0.716666666666667,1,0.5,3,3,0.6,-0.716666666666667,NaN,0.75
