adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-448,0.36,1,0.7,-0.466666666666667,2,0.45,NaN,1
-600,0.12,1,0.9,-0.625,1,0.15,NaN,1
0,NaN,0,0.2,NaN,1,NaN,joystick_not_stationary,NaN
-856,0.24,1,0.8,-0.891666666666667,2,0.45,NaN,1
0,NaN,1,0.1,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,1,NaN,2,NaN,joystick_not_stationary,NaN
376,1.2,1,0.6,0.391666666666667,1,0,NaN,1
-488,1.2,0,0.5,-0.508333333333333,1,0,NaN,1
-616,0.72,1,0.4,-0.641666666666667,1,0.15,NaN,1
-552,0.12,1,0.9,-0.575,1,0.15,NaN,1
0,NaN,0,0.2,NaN,2,NaN,joystick_not_stationary,NaN
-616,1.2,0,0.4,-0.641666666666667,3,0,NaN,1
0,NaN,0,0.7,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,1,NaN,1,NaN,joystick_not_stationary,NaN
-568,NaN,1,0.9,NaN,2,NaN,unfinished_bidding,NaN
0,NaN,1,0.7,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.9,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.4,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.4,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.8,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,1,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.8,NaN,1,NaN,joystick_not_stationary,NaN
480,0.12,0,0.9,0.5,1,0.15,NaN,1
-512,0.72,1,0.4,-0.533333333333333,1,0.15,NaN,1
0,NaN,0,0.7,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.2,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.3,NaN,2,NaN,joystick_not_stationary,NaN
272,0.24,0,0.8,0.283333333333333,1,0.15,NaN,1
0,NaN,1,0.6,NaN,1,NaN,joystick_not_stationary,NaN
480,1.2,1,0.7,0.5,1,0,NaN,1
-856,0.36,1,0.7,-0.891666666666667,3,0.75,NaN,1
0,NaN,0,0.8,NaN,2,NaN,joystick_not_stationary,NaN
-424,0.72,1,0.4,-0.441666666666667,2,0.45,NaN,1
-568,0.96,1,0.2,-0.591666666666667,3,0.75,NaN,1
-656,0.72,1,0.4,-0.683333333333333,3,0.75,NaN,1
0,NaN,0,0.6,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,3,NaN,joystick_not_stationary,NaN
-456,0.84,1,0.3,-0.475,2,0.45,NaN,1
0,NaN,0,0.5,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.1,NaN,3,NaN,no_bid,NaN
0,NaN,0,0.4,NaN,3,NaN,no_bid,NaN
-400,0,1,1,-0.416666666666667,2,0.45,NaN,1
0,NaN,0,0.9,NaN,1,NaN,joystick_not_stationary,NaN
-936,1.2,0,1,-0.975,3,0,NaN,1
-960,1.2,0,0.3,-1,2,0,NaN,1
-400,0.36,1,0.7,-0.416666666666667,1,0.15,NaN,1
0,NaN,0,0.7,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.8,NaN,1,NaN,joystick_not_stationary,NaN
-464,0.72,1,0.4,-0.483333333333333,2,0.45,NaN,1
-520,0.48,1,0.6,-0.541666666666667,2,0.45,NaN,1
0,NaN,1,0.5,NaN,3,NaN,joystick_not_stationary,NaN
-576,0.48,1,0.6,-0.6,2,0.45,NaN,1
0,NaN,0,0.6,NaN,2,NaN,joystick_not_stationary,NaN
-480,0.36,1,0.7,-0.5,1,0.15,NaN,1
0,NaN,1,0.1,NaN,3,NaN,joystick_not_stationary,NaN
-960,1.2,0,0.1,-1,3,0,NaN,1
0,NaN,0,0.4,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,1,NaN,joystick_not_stationary,NaN
-696,0.96,1,0.2,-0.725,3,0.75,NaN,1
0,NaN,0,0.4,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.1,NaN,2,NaN,joystick_not_stationary,NaN
