adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
688,0.716666666666667,1,0.8,3,3,0.96,0.716666666666667,NaN,0.75
576,0.6,1,1,0,3,1.2,0.6,NaN,0
632,0.658333333333333,1,1,0,2,1.2,0.658333333333333,NaN,0
560,0.583333333333333,1,1,0,2,1.2,0.583333333333333,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
376,0.391666666666667,1,1,0,3,1.2,0.391666666666667,NaN,0
688,0.716666666666667,1,1,0,1,1.2,0.716666666666667,NaN,0
552,0.575,1,0.4,3,3,0.48,0.575,NaN,0.75
496,0.516666666666667,1,0.9,2,2,1.08,0.516666666666667,NaN,0.45
424,0.441666666666667,1,0.9,1,1,1.08,0.441666666666667,NaN,0.15
528,0.55,1,0.7,1,1,0.84,0.55,NaN,0.15
552,0.575,1,1,0,1,1.2,0.575,NaN,0
600,0.625,1,1,0,3,1.2,0.625,NaN,0
664,0.691666666666667,1,0.4,1,1,0.48,0.691666666666667,NaN,0.15
552,0.575,1,0.5,1,1,0.6,0.575,NaN,0.15
600,0.625,1,0.6,2,2,0.72,0.625,NaN,0.45
760,0.791666666666667,1,0.7,1,1,0.84,0.791666666666667,NaN,0.15
792,0.825,1,0.3,2,2,0.36,0.825,NaN,0.45
592,0.616666666666667,1,1,0,2,1.2,0.616666666666667,NaN,0
472,0.491666666666667,1,0.2,3,3,0.24,0.491666666666667,NaN,0.75
696,0.725,1,0.7,1,1,0.84,0.725,NaN,0.15
704,0.733333333333333,1,1,0,1,1.2,0.733333333333333,NaN,0
424,0.441666666666667,1,1,0,3,1.2,0.441666666666667,NaN,0
424,0.441666666666667,1,0.7,1,1,0.84,0.441666666666667,NaN,0.15
552,0.575,1,0.5,3,3,0.6,0.575,NaN,0.75
688,0.716666666666667,1,0.4,1,1,0.48,0.716666666666667,NaN,0.15
848,0.883333333333333,1,1,0,3,1.2,0.883333333333333,NaN,0
424,0.441666666666667,1,0.2,3,3,0.24,0.441666666666667,NaN,0.75
0,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
960,1,1,1,0,1,1.2,1,NaN,0
560,0.583333333333333,1,1,0,1,1.2,0.583333333333333,NaN,0
616,0.641666666666667,1,0.3,1,1,0.36,0.641666666666667,NaN,0.15
448,0.466666666666667,1,0.5,1,1,0.6,0.466666666666667,NaN,0.15
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
536,0.558333333333333,1,0.8,3,3,0.96,0.558333333333333,NaN,0.75
760,0.791666666666667,1,0.9,2,2,1.08,0.791666666666667,NaN,0.45
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
472,0.491666666666667,1,1,0,1,1.2,0.491666666666667,NaN,0
960,1,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
384,0.4,1,1,0,2,1.2,0.4,NaN,0
728,0.758333333333333,1,1,0,2,1.2,0.758333333333333,NaN,0
736,0.766666666666667,1,1,0,1,1.2,0.766666666666667,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
528,0.55,1,0.1,3,3,0.12,0.55,NaN,0.75
448,0.466666666666667,1,0.3,3,3,0.36,0.466666666666667,NaN,0.75
0,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
760,0.791666666666667,1,0.2,1,1,0.24,0.791666666666667,NaN,0.15
0,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
568,0.591666666666667,1,1,0,1,1.2,0.591666666666667,NaN,0
0,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
960,1,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
832,0.866666666666667,1,1,0,3,1.2,0.866666666666667,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
