adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,reward_liquid,monkey_final_bid,task_failure
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
392,0.408333333333333,1,1,0,1,1.2,0,0.408333333333333,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
448,0.466666666666667,1,0.5,2,2,0.6,0.45,0.466666666666667,NaN
504,0.525,1,1,0,1,1.2,0,0.525,NaN
728,0.758333333333333,1,0.7,1,1,0.84,0.15,0.758333333333333,NaN
584,0.608333333333333,1,0.6,1,1,0.72,0.15,0.608333333333333,NaN
464,0.483333333333333,1,1,0,1,1.2,0,0.483333333333333,NaN
496,0.516666666666667,1,1,0,1,1.2,0,0.516666666666667,NaN
400,0.416666666666667,1,0.2,3,3,0.24,0.75,0.416666666666667,NaN
544,0.566666666666667,1,1,0,1,1.2,0,0.566666666666667,NaN
400,0.416666666666667,1,1,0,3,1.2,0,0.416666666666667,NaN
408,0.425,1,1,0,2,1.2,0,0.425,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
464,0.483333333333333,1,0.9,3,3,1.08,0.75,0.483333333333333,NaN
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
560,0.583333333333333,1,1,0,1,1.2,0,0.583333333333333,NaN
464,0.483333333333333,1,0.6,3,3,0.72,0.75,0.483333333333333,NaN
416,0.433333333333333,1,0.8,3,3,0.96,0.75,0.433333333333333,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
480,0.5,1,0.3,1,1,0.36,0.15,0.5,NaN
0,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
576,0.6,1,1,0,3,1.2,0,0.6,NaN
416,0.433333333333333,1,1,0,2,1.2,0,0.433333333333333,NaN
336,0.35,1,1,0,1,1.2,0,0.35,NaN
528,0.55,1,1,0,2,1.2,0,0.55,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
528,0.55,1,1,0,3,1.2,0,0.55,NaN
400,0.416666666666667,1,0.7,2,2,0.84,0.45,0.416666666666667,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
