adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
344,0.358333333333333,1,0.7,1,1,0.84,0.358333333333333,NaN,0.15
376,0.391666666666667,1,1,0,2,1.2,0.391666666666667,NaN,0
488,0.508333333333333,1,1,0,1,1.2,0.508333333333333,NaN,0
368,0.383333333333333,1,0.5,3,3,0.6,0.383333333333333,NaN,0.75
416,0.433333333333333,1,0.8,2,2,0.96,0.433333333333333,NaN,0.45
512,0.533333333333333,1,0.3,1,1,0.36,0.533333333333333,NaN,0.15
312,0.325,1,0.7,1,1,0.84,0.325,NaN,0.15
400,0.416666666666667,1,0.8,2,2,0.96,0.416666666666667,NaN,0.45
472,0.491666666666667,1,1,0,1,1.2,0.491666666666667,NaN,0
344,0.358333333333333,1,1,0,2,1.2,0.358333333333333,NaN,0
568,0.591666666666667,1,0.4,2,2,0.48,0.591666666666667,NaN,0.45
448,0.466666666666667,1,0.9,1,1,1.08,0.466666666666667,NaN,0.15
392,0.408333333333333,1,1,0,3,1.2,0.408333333333333,NaN,0
336,0.35,1,1,0,3,1.2,0.35,NaN,0
632,0.658333333333333,1,0.5,2,2,0.6,0.658333333333333,NaN,0.45
592,0.616666666666667,1,1,0,2,1.2,0.616666666666667,NaN,0
712,0.741666666666667,1,1,0,2,1.2,0.741666666666667,NaN,0
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
400,0.416666666666667,1,1,0,3,1.2,0.416666666666667,NaN,0
472,0.491666666666667,1,1,0,2,1.2,0.491666666666667,NaN,0
640,0.666666666666667,1,1,0,3,1.2,0.666666666666667,NaN,0
520,0.541666666666667,1,0.3,2,2,0.36,0.541666666666667,NaN,0.45
520,0.541666666666667,1,1,0,3,1.2,0.541666666666667,NaN,0
520,0.541666666666667,1,1,0,1,1.2,0.541666666666667,NaN,0
552,0.575,1,0.3,1,1,0.36,0.575,NaN,0.15
352,0.366666666666667,1,1,0,1,1.2,0.366666666666667,NaN,0
608,0.633333333333333,1,0.7,3,3,0.84,0.633333333333333,NaN,0.75
632,0.658333333333333,1,0.3,3,3,0.36,0.658333333333333,NaN,0.75
440,0.458333333333333,1,0.3,1,1,0.36,0.458333333333333,NaN,0.15
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
424,0.441666666666667,1,0.7,1,1,0.84,0.441666666666667,NaN,0.15
584,0.608333333333333,1,1,0,1,1.2,0.608333333333333,NaN,0
536,0.558333333333333,1,0.7,1,1,0.84,0.558333333333333,NaN,0.15
608,0.633333333333333,1,0.4,3,3,0.48,0.633333333333333,NaN,0.75
504,0.525,1,1,0,1,1.2,0.525,NaN,0
672,0.7,1,1,0,1,1.2,0.7,NaN,0
-616,-0.641666666666667,1,0.5,3,3,0.6,-0.641666666666667,NaN,0.75
-528,-0.55,1,0.2,3,3,0.24,-0.55,NaN,0.75
-360,-0.375,1,0.9,2,2,1.08,-0.375,NaN,0.45
-576,-0.6,1,1,0,3,1.2,-0.6,NaN,0
-576,-0.6,1,1,0,1,1.2,-0.6,NaN,0
-544,-0.566666666666667,1,0.9,1,1,1.08,-0.566666666666667,NaN,0.15
-504,-0.525,1,0,3,3,0,-0.525,NaN,0.75
-552,-0.575,1,1,0,3,1.2,-0.575,NaN,0
560,0.583333333333333,1,1,0,1,1.2,0.583333333333333,NaN,0
-576,-0.6,1,1,0,3,1.2,-0.6,NaN,0
416,0.433333333333333,1,1,0,1,1.2,0.433333333333333,NaN,0
-664,-0.691666666666667,1,1,0,3,1.2,-0.691666666666667,NaN,0
504,0.525,1,0.1,1,1,0.12,0.525,NaN,0.15
-688,-0.716666666666667,1,0.9,3,3,1.08,-0.716666666666667,NaN,0.75
-576,-0.6,1,0.7,2,2,0.84,-0.6,NaN,0.45
-488,-0.508333333333333,1,1,0,3,1.2,-0.508333333333333,NaN,0
-624,-0.65,1,0.3,2,2,0.36,-0.65,NaN,0.45
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
600,0.625,1,0.1,2,2,0.12,0.625,NaN,0.45
-448,-0.466666666666667,1,0.9,2,2,1.08,-0.466666666666667,NaN,0.45
-584,-0.608333333333333,1,0,3,3,0,-0.608333333333333,NaN,0.75
-680,-0.708333333333333,1,1,0,3,1.2,-0.708333333333333,NaN,0
272,0.283333333333333,1,0,1,1,0,0.283333333333333,NaN,0.15
208,0.216666666666667,1,1,0,2,1.2,0.216666666666667,NaN,0
624,0.65,1,0.5,1,1,0.6,0.65,NaN,0.15
-632,-0.658333333333333,1,0.4,1,1,0.48,-0.658333333333333,NaN,0.15
432,0.45,1,0.9,1,1,1.08,0.45,NaN,0.15
-640,-0.666666666666667,1,0.8,2,2,0.96,-0.666666666666667,NaN,0.45
-424,-0.441666666666667,1,1,0,1,1.2,-0.441666666666667,NaN,0
352,0.366666666666667,1,0.7,1,1,0.84,0.366666666666667,NaN,0.15
344,0.358333333333333,1,0.6,1,1,0.72,0.358333333333333,NaN,0.15
