adjust,budget_liquid,bundle_position,bundle_water_perc,monkey_final_bid,offer_value,reward_liquid,task_failure,win
0,NaN,0,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,3,NaN,joystick_not_stationary,NaN
-955.28182292958,0.84,1,0.3,-0.995085232218312,1,0.15,NaN,1
-561.432217933681,0.6,1,0.5,-0.584825227014251,3,0.75,NaN,1
-702.709021814188,0.48,1,0.6,-0.731988564389779,2,0.45,NaN,1
-625.442611829464,1.2,0,0.1,-0.651502720655692,1,0,NaN,1
-718.844554172658,1.2,0,1,-0.748796410596519,3,0,NaN,1
-448.551083999066,1.2,0,0.8,-0.467240712499027,2,0,NaN,1
0,NaN,1,0.4,NaN,3,NaN,no_bid,NaN
-841.097980136791,1.2,0,0.7,-0.876143729309157,1,0,NaN,1
-426.377001797403,1.2,0,0.5,-0.444142710205628,3,0,NaN,1
-349.116337418168,1.2,0,0.4,-0.363662851477259,2,0,NaN,1
-661.57456582675,1.2,0,0.9,-0.689140172736198,1,0,NaN,1
-204.007452229311,0.48,1,0.6,-0.212507762738865,2,0.45,NaN,1
-738.399208639169,1.2,0,0.5,-0.769165842332468,1,0,NaN,1
0,NaN,1,0.2,NaN,3,NaN,no_bid,NaN
0,NaN,1,1,NaN,3,NaN,no_bid,NaN
-520.007824318385,1.2,0,0.2,-0.541674816998318,2,0,NaN,1
-711.972008800428,1.2,0,0.3,-0.741637509167112,3,0,NaN,1
0,NaN,0,0.6,NaN,1,NaN,no_bid,NaN
-788.809874164583,0.12,1,0.9,-0.821676952254774,3,0.75,NaN,1
-741.687213333062,0.96,1,0.2,-0.772590847221939,3,0.75,NaN,1
-846.382529624306,1.2,0,0.8,-0.881648468358652,1,0,NaN,1
0,NaN,0,0.2,NaN,2,NaN,no_bid,NaN
-547.048089074175,1.2,0,0.3,-0.569841759452266,1,0,NaN,1
-740.763910986561,1.2,0,0.5,-0.771629073944335,1,0,NaN,1
-846.581831481839,0.72,1,0.4,-0.881856074460249,3,0.75,NaN,1
-898.397970539257,0.6,1,0.5,-0.935831219311726,3,0.75,NaN,1
0,NaN,0,1,NaN,2,NaN,no_bid,NaN
-552.232323325458,0.6,1,0.5,-0.575242003464019,2,0.45,NaN,1
-734.482130106361,0,1,1,-0.765085552194126,1,0.15,NaN,1
-960,1.2,0,0.7,-1,1,0,NaN,1
0,NaN,0,0.4,NaN,2,NaN,no_bid,NaN
0,NaN,1,0.5,NaN,2,NaN,no_bid,NaN
-708.352803480132,1.2,0,0.6,-0.737867503625138,3,0,NaN,1
-608.091164920532,0.84,1,0.3,-0.633428296792221,1,0.15,NaN,1
-773.460353119085,0.48,1,0.6,-0.805687867832381,1,0.15,NaN,1
-638.523436359822,0.6,1,0.5,-0.665128579541481,3,0.75,NaN,1
-960,0.24,1,0.8,-1,3,0.75,NaN,1
-929.788709244432,1.08,1,0.1,-0.96852990546295,2,0.45,NaN,1
0,NaN,0,0.2,NaN,3,NaN,no_bid,NaN
-960,1.2,0,0.9,-1,1,0,NaN,1
-325.356385021717,1.08,1,0.1,-0.338912901064288,1,0.15,NaN,1
-880.584058298794,0,1,1,-0.917275060727911,3,0.75,NaN,1
-798.576890669956,1.2,0,0.9,-0.831850927781204,3,0,NaN,1
-662.63072196341,0.6,1,0.5,-0.690240335378552,1,0.15,NaN,1
0,NaN,0,0.4,NaN,3,NaN,no_bid,NaN
0,NaN,1,0.4,NaN,1,NaN,no_bid,NaN
0,NaN,0,1,NaN,3,NaN,no_bid,NaN
-960,1.2,0,0.9,-1,1,0,NaN,1
-552.704435759835,1.08,1,0.1,-0.575733787249828,3,0.75,NaN,1
0,NaN,1,0.3,NaN,2,NaN,no_bid,NaN
-960,1.2,0,0.1,-1,3,0,NaN,1
-864.065171222874,0.36,1,0.7,-0.900067886690494,2,0.45,NaN,1
-611.046103808604,0.6,1,0.5,-0.636506358133962,1,0.15,NaN,1
0,NaN,0,0.9,NaN,2,NaN,no_bid,NaN
-950.770366978031,1.08,1,0.1,-0.990385798935449,2,0.45,NaN,1
