adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-488,0.12,1,0.9,-0.508333333333333,3,0.75,NaN,1
-888,1.2,0,0.6,-0.925,2,0,NaN,1
-600,1.2,0,0.8,-0.625,3,0,NaN,1
-552,1.2,0,0.3,-0.575,2,0,NaN,1
-624,1.2,0,0.7,-0.65,1,0,NaN,1
-680,0.36,1,0.7,-0.708333333333333,2,0.45,NaN,1
-576,0.24,1,0.8,-0.6,1,0.15,NaN,1
-584,1.2,0,0.8,-0.608333333333333,3,0,NaN,1
-680,0.36,1,0.7,-0.708333333333333,1,0.15,NaN,1
-568,0.84,1,0.3,-0.591666666666667,1,0.15,NaN,1
0,NaN,1,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.7,NaN,1,NaN,joystick_not_stationary,NaN
360,0.6,0,0.5,0.375,1,0.15,NaN,1
0,NaN,1,0.5,NaN,3,NaN,joystick_not_stationary,NaN
400,1.2,1,1,0.416666666666667,1,0,NaN,1
392,1.2,1,0.7,0.408333333333333,1,0,NaN,1
0,NaN,0,0.5,NaN,3,NaN,joystick_not_stationary,NaN
-424,1.2,0,0.2,-0.441666666666667,3,0,NaN,1
-680,1.2,0,0.1,-0.708333333333333,2,0,NaN,1
0,NaN,0,0.9,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.5,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.1,NaN,1,NaN,joystick_not_stationary,NaN
312,0,0,1,0.325,1,0.15,NaN,1
-632,0.6,1,0.5,-0.658333333333333,2,0.45,NaN,1
0,NaN,1,1,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.8,NaN,1,NaN,joystick_not_stationary,NaN
-480,0.24,1,0.8,-0.5,2,0.45,NaN,1
0,NaN,0,1,NaN,1,NaN,joystick_not_stationary,NaN
448,1.2,1,0.7,0.466666666666667,1,0,NaN,1
-640,1.2,0,0.9,-0.666666666666667,3,0,NaN,1
-664,1.2,0,0.7,-0.691666666666667,3,0,NaN,1
-624,0.72,1,0.4,-0.65,3,0.75,NaN,1
-632,1.2,0,0.8,-0.658333333333333,1,0,NaN,1
0,NaN,0,0.6,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,1,NaN,2,NaN,joystick_not_stationary,NaN
344,1.2,1,0.3,0.358333333333333,1,0,NaN,1
-696,0.84,1,0.3,-0.725,2,0.45,NaN,1
-648,1.2,0,1,-0.675,2,0,NaN,1
-776,0,1,1,-0.808333333333333,3,0.75,NaN,1
-712,0.12,1,0.9,-0.741666666666667,2,0.45,NaN,1
-672,0.96,1,0.2,-0.7,2,0.45,NaN,1
0,NaN,1,0.4,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.1,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,1,NaN,2,NaN,joystick_not_stationary,NaN
392,1.2,1,0.9,0.408333333333333,1,0,NaN,1
-576,0.6,1,0.5,-0.6,2,0.45,NaN,1
0,NaN,1,0.1,NaN,1,NaN,joystick_not_stationary,NaN
