adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
960,1,1,0.7,1,1,0.84,1,NaN,0.15
960,1,1,1,0,2,1.2,1,NaN,0
544,0.566666666666667,1,1,0,1,1.2,0.566666666666667,NaN,0
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
448,0.466666666666667,1,0.7,1,1,0.84,0.466666666666667,NaN,0.15
584,0.608333333333333,1,0.8,2,2,0.96,0.608333333333333,NaN,0.45
424,0.441666666666667,1,1,0,1,1.2,0.441666666666667,NaN,0
424,0.441666666666667,1,1,0,2,1.2,0.441666666666667,NaN,0
440,0.458333333333333,1,0.4,2,2,0.48,0.458333333333333,NaN,0.45
376,0.391666666666667,1,0.9,1,1,1.08,0.391666666666667,NaN,0.15
520,0.541666666666667,1,1,0,3,1.2,0.541666666666667,NaN,0
352,0.366666666666667,1,1,0,3,1.2,0.366666666666667,NaN,0
960,1,1,0.5,2,2,0.6,1,NaN,0.45
960,1,1,1,0,2,1.2,1,NaN,0
400,0.416666666666667,1,1,0,2,1.2,0.416666666666667,NaN,0
624,0.65,1,1,0,3,1.2,0.65,NaN,0
560,0.583333333333333,1,1,0,3,1.2,0.583333333333333,NaN,0
960,1,1,1,0,2,1.2,1,NaN,0
536,0.558333333333333,1,1,0,3,1.2,0.558333333333333,NaN,0
624,0.65,1,0.3,2,2,0.36,0.65,NaN,0.45
768,0.8,1,1,0,3,1.2,0.8,NaN,0
960,1,1,1,0,1,1.2,1,NaN,0
800,0.833333333333333,1,0.3,1,1,0.36,0.833333333333333,NaN,0.15
512,0.533333333333333,1,1,0,1,1.2,0.533333333333333,NaN,0
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
720,0.75,1,0.3,3,3,0.36,0.75,NaN,0.75
504,0.525,1,0.3,1,1,0.36,0.525,NaN,0.15
832,0.866666666666667,1,0.2,2,2,0.24,0.866666666666667,NaN,0.45
856,0.891666666666667,1,0.7,1,1,0.84,0.891666666666667,NaN,0.15
960,1,1,1,0,1,1.2,1,NaN,0
960,1,1,0.7,1,1,0.84,1,NaN,0.15
768,0.8,1,0.4,3,3,0.48,0.8,NaN,0.75
944,0.983333333333333,1,1,0,1,1.2,0.983333333333333,NaN,0
832,0.866666666666667,1,1,0,1,1.2,0.866666666666667,NaN,0
960,1,1,1,0,3,1.2,1,NaN,0
960,1,1,1,0,3,1.2,1,NaN,0
960,1,1,1,0,2,1.2,1,NaN,0
712,0.741666666666667,1,0.8,3,3,0.96,0.741666666666667,NaN,0.75
400,0.416666666666667,1,0.1,1,1,0.12,0.416666666666667,NaN,0.15
744,0.775,1,1,0,1,1.2,0.775,NaN,0
576,0.6,1,1,0,3,1.2,0.6,NaN,0
624,0.65,1,0.1,3,3,0.12,0.65,NaN,0.75
960,1,1,1,0,1,1.2,1,NaN,0
960,1,1,0.6,3,3,0.72,1,NaN,0.75
960,1,1,1,0,1,1.2,1,NaN,0
952,0.991666666666667,1,0,3,3,0,0.991666666666667,NaN,0.75
960,1,1,0.1,1,1,0.12,1,NaN,0.15
832,0.866666666666667,1,1,0,3,1.2,0.866666666666667,NaN,0
960,1,1,1,0,2,1.2,1,NaN,0
960,1,1,0.9,3,3,1.08,1,NaN,0.75
928,0.966666666666667,1,1,0,2,1.2,0.966666666666667,NaN,0
960,1,1,1,0,1,1.2,1,NaN,0
960,1,1,0.1,2,2,0.12,1,NaN,0.45
448,0.466666666666667,1,1,0,2,1.2,0.466666666666667,NaN,0
592,0.616666666666667,1,1,0,3,1.2,0.616666666666667,NaN,0
960,1,1,0.2,3,3,0.24,1,NaN,0.75
960,1,1,0,1,1,0,1,NaN,0.15
960,1,1,1,0,2,1.2,1,NaN,0
