adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
472,0.491666666666667,1,1,0,1,1.2,0.491666666666667,NaN,0
504,0.525,1,1,0,2,1.2,0.525,NaN,0
184,0.191666666666667,1,1,0,3,1.2,0.191666666666667,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
424,0.441666666666667,1,0.8,2,2,0.96,0.441666666666667,NaN,0.45
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
344,0.358333333333333,1,1,0,2,1.2,0.358333333333333,NaN,0
400,0.416666666666667,1,1,0,3,1.2,0.416666666666667,NaN,0
632,0.658333333333333,1,1,0,2,1.2,0.658333333333333,NaN,0
504,0.525,1,1,0,3,1.2,0.525,NaN,0
392,0.408333333333333,1,0.3,3,3,0.36,0.408333333333333,NaN,0.75
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
320,0.333333333333333,1,0,2,2,0,0.333333333333333,NaN,0.45
232,0.241666666666667,1,0.5,2,2,0.6,0.241666666666667,NaN,0.45
240,0.25,1,1,0,2,1.2,0.25,NaN,0
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
360,0.375,1,1,0,3,1.2,0.375,NaN,0
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
312,0.325,1,1,0,1,1.2,0.325,NaN,0
232,0.241666666666667,1,1,0,3,1.2,0.241666666666667,NaN,0
240,0.25,1,0.1,3,3,0.12,0.25,NaN,0.75
416,0.433333333333333,1,1,0,3,1.2,0.433333333333333,NaN,0
296,0.308333333333333,1,0.8,1,1,0.96,0.308333333333333,NaN,0.15
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
360,0.375,1,1,0,3,1.2,0.375,NaN,0
472,0.491666666666667,1,1,0,2,1.2,0.491666666666667,NaN,0
312,0.325,1,0.6,1,1,0.72,0.325,NaN,0.15
264,0.275,1,0.6,1,1,0.72,0.275,NaN,0.15
328,0.341666666666667,1,0.7,2,2,0.84,0.341666666666667,NaN,0.45
184,0.191666666666667,1,0.8,2,2,0.96,0.191666666666667,NaN,0.45
368,0.383333333333333,1,0.9,2,2,1.08,0.383333333333333,NaN,0.45
216,0.225,1,0.6,2,2,0.72,0.225,NaN,0.45
288,0.3,1,1,0,1,1.2,0.3,NaN,0
344,0.358333333333333,1,0.3,3,3,0.36,0.358333333333333,NaN,0.75
0,0,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
232,0.241666666666667,1,0,2,2,0,0.241666666666667,NaN,0.45
240,0.25,1,1,0,1,1.2,0.25,NaN,0
528,0.55,1,1,0,2,1.2,0.55,NaN,0
472,0.491666666666667,1,0.7,2,2,0.84,0.491666666666667,NaN,0.45
288,0.3,1,0.6,3,3,0.72,0.3,NaN,0.75
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
320,0.333333333333333,1,1,0,1,1.2,0.333333333333333,NaN,0
392,0.408333333333333,1,0.4,1,1,0.48,0.408333333333333,NaN,0.15
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
312,0.325,1,1,0,3,1.2,0.325,NaN,0
264,0.275,1,0.6,3,3,0.72,0.275,NaN,0.75
0,0,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
