adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
0,NaN,1,1,NaN,1,NaN,unfinished_bidding,NaN
0,NaN,0,0.5,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.7,NaN,1,NaN,no_bid,NaN
0,NaN,0,0.9,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.3,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,0,0.9,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.2,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,2,NaN,no_bid,NaN
-32,NaN,0,0.8,NaN,1,NaN,unfinished_bidding,NaN
0,NaN,1,0.4,NaN,1,NaN,unfinished_bidding,NaN
-112,NaN,0,1,NaN,3,NaN,unfinished_bidding,NaN
0,NaN,1,0.5,NaN,2,NaN,joystick_not_stationary,NaN
-48,NaN,0,0.1,NaN,2,NaN,unfinished_bidding,NaN
-56,NaN,0,0.2,NaN,2,NaN,unfinished_bidding,NaN
0,NaN,1,0.1,NaN,2,NaN,unfinished_bidding,NaN
0,NaN,1,0.3,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.7,NaN,2,NaN,no_bid,NaN
0,NaN,1,0.5,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.1,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.3,NaN,2,NaN,unfinished_bidding,NaN
